team_name,manager,seasons,wins,losses,ties,pf,pa,titles,games,win_pct
the stunods,Matt,16,104,109,0,21443.12,21792.95,3,213,48.83
The RDCs,Kurt Russel,9,77,44,0,13763.84,12406.58,2,121,63.64
Goat,slater,6,53,32,0,7466.78,6633.98,2,85,62.35
Goat,Goat,9,59,58,0,12002.18,11590.22,2,117,50.43
The Horsemasters,hags,14,93,94,0,18988.19,19290.99,2,187,49.73
Kiss my cock,peterO,1,11,2,0,1455.54,1247.76,1,13,84.62
Hags House of Whores,haigney,4,35,20,0,4722.72,4285.64,1,55,63.64
Grunting Grundles,ian,2,18,11,1,2596.0,2436.0,1,30,61.67
DickShinersConnivers,five1three,5,36,29,0,7210.12,6764.22,1,65,55.38
Professor Keystone,Joseph Trendowski,5,36,29,0,6514.76,6134.92,1,65,55.38
HowTheWestWon,Joshua,2,14,12,0,2906.16,2840.32,1,26,53.85
Ottoman Empire,peterO,14,97,90,0,19221.09,19069.86,1,187,51.87
howthewesTWOn,Joshua,5,36,34,0,7451.63,7352.09,1,70,51.43
Rancid Douche Cunts,winter,6,42,43,0,6911.32,6818.52,1,85,49.41
DickShinersConnivers,altman,3,20,21,0,3110.3,3291.54,1,41,48.78
The Non-Factors,michael,4,25,27,0,5007.12,5089.4,1,52,48.08
Khaleesi's Connivers,five1three,1,11,2,0,1599.28,1229.76,0,13,84.62
TKOSpikes,ott,1,12,3,0,1286.0,1049.0,0,15,80.0
Reginald (vel) Johnson Harvey,michael,1,11,3,0,1550.14,1427.0,0,14,78.57
Wizard of Odds,--hidden--,1,10,3,0,1290.98,1064.46,0,13,76.92
2CockConnivers,five1three,1,10,4,0,1484.85,1359.29,0,14,71.43
LA BrucesOf Endicott,ian,1,10,4,0,1169.0,1001.0,0,14,71.43
Professor Keystone,trendo,2,19,8,0,2189.0,1978.7,0,27,70.37
Drinkin' in the Yard,trendo,1,9,5,1,1335.0,1164.0,0,15,63.33
HowTheWestWillWin,Joshua,2,16,10,0,2984.84,2803.72,0,26,61.54
Russellhustle&bustle,michael,2,16,10,0,2818.84,2572.4,0,26,61.54
The Daniel Tigers,Matt,1,8,5,0,1410.64,1432.38,0,13,61.54
Team Snake Juice,Matt,1,8,5,0,1279.16,1363.36,0,13,61.54
MatsuisHouseofPorn,ml,1,8,5,0,1143.48,953.9,0,13,61.54
Slack Jaw`d Redman,sterbank,1,8,5,0,1122.6,1046.72,0,13,61.54
Food Bag,Matt,2,17,11,0,3202.54,2891.16,0,28,60.71
99 Problems,ott,1,9,6,0,1150.0,1125.0,0,15,60.0
The Connivers,altman,3,25,18,1,3498.0,3388.0,0,44,57.95
Rancid Douche Cunts,Kurt Russel,5,37,28,0,6603.1,6028.78,0,65,56.92
Los_ticos,vern,1,8,6,1,1327.0,1089.0,0,15,56.67
The Mustard Museum,Koroco,6,46,37,0,9301.94,8606.37,0,83,55.42
The Future Kings of Trash,Ian Lane,4,31,25,0,5918.3,5718.13,0,56,55.36
This is fine,michael,1,7,6,0,1584.78,1445.56,0,13,53.85
TakeMeToTheHospital,Ian Lane,1,7,6,0,1483.92,1468.46,0,13,53.85
King Henry MFers,michael,1,7,6,0,1475.74,1411.06,0,13,53.85
DancinOnTheThielen,Ian Lane,1,7,6,0,1446.0,1514.2,0,13,53.85
Desparados,--hidden--,1,7,6,0,1391.52,1426.22,0,13,53.85
ConnivingCamJammers,five1three,1,7,6,0,1281.4,1182.6,0,13,53.85
the stunods,vern,4,30,26,0,4814.86,4463.46,0,56,53.57
Assbags,johnny,2,15,13,0,2216.0,2122.0,0,28,53.57
Desparados,z,2,15,13,0,2189.0,2260.0,0,28,53.57
Slack-Jaw'd Redman,Koroco,10,69,61,0,12993.44,12685.84,0,130,53.08
Dick$hinersConnivers,five1three,3,22,20,0,4182.9,4201.8,0,42,52.38
Once & Future Kings,--hidden--,2,13,13,0,2511.52,2462.36,0,26,50.0
Banana Slamma!!,michael,1,7,7,0,1569.3,1561.04,0,14,50.0
We Got Worms,Matt,1,7,7,0,1531.32,1513.52,0,14,50.0
La Vida Locas,ml,1,7,7,0,1034.0,966.0,0,14,50.0
The Assbags,John Condon,16,104,108,1,21275.47,21907.59,0,213,49.06
BonerLoafCuntPasta,ian,2,13,14,0,1956.46,2164.28,0,27,48.15
The Assbags,johnny,3,20,22,0,3246.56,3209.62,0,42,47.62
Don’t Rock The Goat,Goat,7,45,50,1,9981.22,10083.25,0,96,47.4
I’ll See You Later Walker,michael,2,13,15,0,2815.92,3024.48,0,28,46.43
MatsuisHouseofPorn,michael,2,12,14,0,2393.46,2510.96,0,26,46.15
The Unclean Spleens,Ian Lane,1,6,7,0,1387.56,1182.62,0,13,46.15
Trust the Process,michael,1,6,7,0,1312.54,1363.24,0,13,46.15
Connive Me Maybe,five1three,1,6,7,0,1254.2,1253.26,0,13,46.15
Stone Cold Steve Austin Ekeler,Ian Lane,1,6,8,0,1385.76,1502.7,0,14,42.86
Dollar Store Les Snead,michael,1,6,8,0,1231.53,1315.71,0,14,42.86
Rancid Dead Corpses,Kurt Russel,2,11,16,0,2780.5,2974.02,0,27,40.74
Leave It Matty,Matt,4,21,31,0,5055.94,5579.38,0,52,40.38
The Connivers,five1three,1,5,8,0,1372.66,1443.92,0,13,38.46
Ten and Under,five1three,1,5,8,0,1325.9,1397.58,0,13,38.46
Conniving Crentists,five1three,1,5,8,0,1124.42,1260.84,0,13,38.46
Hags of Hagglestick,haigney,2,11,19,0,2287.0,2569.0,0,30,36.67
The Sound Machines,Matt,2,10,18,0,2566.69,2881.26,0,28,35.71
Dr. Dartmaster,trendo,1,5,9,0,1061.0,1247.0,0,14,35.71
BonerLoaf Cunt Pasta,ian,1,5,9,0,1052.0,1040.0,0,14,35.71
KoroCompany,sterbank,1,5,9,0,964.0,1154.0,0,14,35.71
Cunning Stunts,ott,1,5,9,0,915.0,1000.0,0,14,35.71
StankinAssButtLords,Ian Lane,5,22,43,0,5770.12,6532.66,0,65,33.85
The Dartmaster,trendo,2,9,19,1,2002.0,2408.0,0,29,32.76
BonerLoafCuntPasta,Ian Lane,2,8,18,0,1943.54,2379.5,0,26,30.77
The Glue Factory,hags,1,4,9,0,1083.0,1108.58,0,13,30.77
Urban Ottfitters,ott,1,4,9,0,926.9,1067.66,0,13,30.77
Outlaws,z,1,4,9,0,901.54,1039.5,0,13,30.77
Btch McFcky Pants,johnny,1,4,10,1,1081.0,1230.0,0,15,30.0
Desperados,z,2,8,20,1,1882.0,2274.0,0,29,29.31
the_isotopes,vern,1,4,10,0,1002.0,1139.0,0,14,28.57
Yellow Fever,ott,1,4,10,0,966.0,1179.0,0,14,28.57
Future Kings of Odds,--hidden--,1,3,10,0,1150.88,1364.94,0,13,23.08
ButtLordsOfCamillus,Ian Lane,1,3,10,0,1135.42,1442.82,0,13,23.08
The Regressing IdiOTTs.,five1three,1,3,11,0,1519.9,1718.5,0,14,21.43
#1Stunners,ott,1,3,11,0,954.0,1202.0,0,14,21.43
I'veGotPO,--hidden--,1,2,11,0,1179.4,1419.9,0,13,15.38
Peter Gunz,peterO,1,2,11,0,1033.66,1431.36,0,13,15.38
SBU,matty,1,1,13,1,858.0,1341.0,0,15,10.0
KAAAAEEEDDINNGGGGGGG,hags,1,0,13,0,910.48,1362.84,0,13,0.0
Luck Is Mine,--hidden--,1,0,13,0,833.96,1293.64,0,13,0.0
