season,team_name,manager
2004,The Connivers,altman
2005,the stunods,vern
2006,The Connivers,altman
2007,Desparados,z
2008,the stunods,vern
2009,Professor Keystone,trendo
2010,Rancid Douche Cunts,Kurt Russel
2011,Slack-Jaw'd Redman,Koroco
2012,The Assbags,John Condon
2013,Professor Keystone,Joseph Trendowski
2014,Rancid Douche Cunts,Kurt Russel
2015,The RDCs,Kurt Russel
2016,The RDCs,Kurt Russel
2017,Leave It Matty,Matt
2018,Slack-Jaw'd Redman,Koroco
2019,Donâ€™t Rock The Goat,Goat
2020,The Mustard Museum,Koroco
2021,The Horsemasters,hags
2022,Ottoman Empire,peterO
2023,The RDCs,Kurt Russel
2024,Dick$hinersConnivers,five1three
2025,The Assbags,John Condon
